IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.80.188,4,4,0.00,27.96,15.08
172.64.91.67,4,4,0.00,28.03,15.05
172.67.34.51,4,4,0.00,28.97,15.01
172.64.49.241,4,4,0.00,28.90,15.00
172.67.35.143,4,4,0.00,28.73,14.98
162.159.137.165,4,4,0.00,28.11,14.94
162.159.140.46,4,4,0.00,28.27,14.93
172.64.89.90,4,4,0.00,28.06,14.64
104.23.99.15,4,4,0.00,27.87,14.62
162.159.138.219,4,4,0.00,28.67,14.25
